 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
5	85454041	37.97032939	-87.57477734	1002827637
5	85994629	37.97033655	-87.57475589	1002827637
5	85278198	37.97034635	-87.57473655	1002816162
4	85934082	37.97035778	-87.57471639	1002825195
4	85029907	37.97036787	-87.57470094	1002822510
4	84604065	37.97037594	-87.57468916	1002793701
4	83861389	37.97038592	-87.57467399	1002799561
4	82932434	37.97039877	-87.57465579	1002808594
4	83469971	37.97041023	-87.57464027	1002806396
4	82495789	37.97041811	-87.57462074	1002773682
4	82724060	37.97042621	-87.57460075	1002804199
4	81917053	37.97043624	-87.57458547	1002854492
4	81669189	37.9704459	-87.57456898	1002803223
5	81662292	37.97045323	-87.57455511	1002785400
4	81933350	37.97046042	-87.57454175	1002781738
4	82142395	37.97046857	-87.57452956	1002739746
4	82143494	37.97047812	-87.57451916	1002744141
4	81705872	37.97048986	-87.57450776	1002730225
4	81396790	37.97049959	-87.57449656	1002705811
4	81364990	37.97050597	-87.57448562	1002810059
4	81305847	37.97051204	-87.57447136	1002815430
4	82994873	37.97051725	-87.57445118	1002787354
5	84042542	37.97052227	-87.57443139	1002800781
4	83801758	37.97053272	-87.57441163	1002789551
4	85315857	37.97054576	-87.57439084	1002733154
4	86069519	37.9705596	-87.57436984	1002738770
4	85768799	37.97056935	-87.57435021	1002769531
4	84634033	37.97057651	-87.57433633	1002736084
4	84338013	37.97058195	-87.57432475	1002761719
3	84573669	37.97059177	-87.57429237	1002809326
3	85147644	37.97059659	-87.57427743	1002791748
3	85553040	37.97060426	-87.57426315	1002750732
3	85482971	37.97061687	-87.57424514	1002722412
3	84422302	37.97062812	-87.57423391	1002731934
3	85011780	37.97063657	-87.5742245	1002726807
3	84822449	37.97064718	-87.57421004	1002689453
3	85441284	37.97065736	-87.57419564	1002706787
3	84671021	37.97066557	-87.57418234	1002770020
3	84431152	37.97067589	-87.57416926	1002735596
3	85996399	37.97068701	-87.57414933	1002793945
3	86633301	37.97069624	-87.57413006	1002770996
3	86561279	37.97070168	-87.57411339	1002742188
3	87745117	37.97070657	-87.57409611	1002770020
3	88204224	37.97071103	-87.57408254	1002761475
3	88034363	37.9707145	-87.57407163	1002756104
3	88375916	37.97072188	-87.57405683	1002747070
3	89123718	37.97073048	-87.57403773	1002778564
3	88317261	37.97073622	-87.57402398	1002795654
3	88458435	37.97074137	-87.57400981	1002764893
3	89314941	37.97074725	-87.57399416	1002746338
3	89505981	37.97075496	-87.57397987	1002712646
3	88726196	37.97076278	-87.57396783	1002742432
3	88410522	37.97076894	-87.57395766	1002723633
3	88585632	37.97077542	-87.57394543	1002834473
3	88772522	37.97078172	-87.57393178	1002801514
3	89462158	37.97078778	-87.57392038	1002775635
3	89193115	37.97079355	-87.57391167	1002777588
3	89620544	37.97079979	-87.57389924	1002791748
3	89734985	37.97080765	-87.57388492	1002730225
3	89883301	37.97081392	-87.57387112	1002752686
3	90684265	37.97082137	-87.5738579	1002777588
3	90673218	37.97082856	-87.57384512	1002770752
3	91444519	37.97083623	-87.5738299	1002751953
4	91599670	37.97084178	-87.5738142	1002783691
3	91882324	37.97084313	-87.57379984	1002722168
3	91534851	37.97084439	-87.57378409	1002704590
3	91572266	37.97084586	-87.57376839	1002715576
3	92377441	37.97084805	-87.57375383	1002814453
3	92902710	37.97084994	-87.57373732	1002819580
3	92928528	37.97085156	-87.57372308	1002819580
